Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,412,126,11,12,14,10,10,13,17,10,13,11,16,12,11,14,12,16,9,13,10,10,15,13,11,11,9,11,13,11,12,9,10,10,11,9,18,9,10,13,14,17,14,13,10,10,9,12,12,13,9,15,10,14,9,10,10,11,11,14,10,9,9,10,10,19,9,11,11,12,11,11,11,9,11,12,9,12,12,9,10,11,9,13,9,14,14,11,11,9,10,11,10,16,9,10,14,10,14,12
Policy Iteration,66,38,54,16,10,9,18,11,9,13,12,9,10,9,13,9,11,17,13,17,9,10,11,9,13,9,11,11,11,12,12,17,10,15,11,18,11,10,18,15,9,13,13,10,9,13,10,14,9,15,18,9,16,14,9,10,12,12,13,14,13,9,12,12,9,9,11,13,9,13,14,18,9,14,11,10,9,10,9,13,14,13,11,10,13,12,11,10,10,10,15,14,14,9,9,9,11,15,10,10
Q Learning,80,38,78,41,17,48,44,51,14,362,15,11,12,23,11,14,21,14,10,11,28,131,13,17,17,12,23,11,23,17,18,12,23,51,52,9,9,12,80,69,13,20,12,49,138,22,32,15,27,20,12,11,11,16,9,18,19,15,16,69,16,25,28,9,66,71,27,23,13,52,11,12,14,15,89,20,11,15,102,18,12,10,22,9,21,13,10,14,28,14,11,15,15,10,11,21,14,20,11,82
Value Iteration,18,2,2,2,3,3,2,3,3,4,4,4,4,5,5,5,6,7,6,6,7,7,7,8,13,7,5,4,4,3,3,4,4,3,4,4,4,4,4,9,5,4,4,4,5,5,5,5,5,5,5,7,6,5,6,6,6,6,6,6,6,11,7,7,7,7,7,7,7,7,7,12,13,17,17,17,17,17,13,8,9,8,8,8,8,9,9,9,9,9,9,14,10,9,9,9,9,9,10,10
Policy Iteration,2,0,1,1,1,2,3,9,3,3,3,4,4,5,8,7,5,11,10,11,12,12,12,12,13,14,13,14,14,15,15,16,16,7,7,7,7,8,7,8,8,9,10,9,10,10,10,10,10,10,10,11,11,14,11,11,11,11,12,12,13,12,13,12,13,13,13,13,20,37,36,37,35,34,37,38,36,39,38,38,33,16,16,16,17,17,21,19,19,19,21,20,19,20,20,21,20,20,20,21
Q Learning,3,1,1,1,1,0,1,8,1,4,7,2,1,2,1,1,1,2,2,2,2,3,1,4,1,1,3,2,2,2,1,2,2,7,3,1,2,2,1,2,1,1,5,6,5,3,4,7,2,2,4,2,2,2,2,3,3,4,5,3,11,3,3,2,5,4,3,4,2,5,3,2,4,6,3,5,3,4,3,3,4,3,6,4,5,9,9,3,6,5,3,5,4,6,3,3,6,16,11,35
Value Iteration Rewards,-310.0,-24.0,91.0,90.0,88.0,92.0,92.0,89.0,85.0,92.0,89.0,91.0,86.0,90.0,91.0,88.0,90.0,86.0,93.0,89.0,92.0,92.0,87.0,89.0,91.0,91.0,93.0,91.0,89.0,91.0,90.0,93.0,92.0,92.0,91.0,93.0,84.0,93.0,92.0,89.0,88.0,85.0,88.0,89.0,92.0,92.0,93.0,90.0,90.0,89.0,93.0,87.0,92.0,88.0,93.0,92.0,92.0,91.0,91.0,88.0,92.0,93.0,93.0,92.0,92.0,83.0,93.0,91.0,91.0,90.0,91.0,91.0,91.0,93.0,91.0,90.0,93.0,90.0,90.0,93.0,92.0,91.0,93.0,89.0,93.0,88.0,88.0,91.0,91.0,93.0,92.0,91.0,92.0,86.0,93.0,92.0,88.0,92.0,88.0,90.0
Policy Iteration Rewards,36.0,64.0,48.0,86.0,92.0,93.0,84.0,91.0,93.0,89.0,90.0,93.0,92.0,93.0,89.0,93.0,91.0,85.0,89.0,85.0,93.0,92.0,91.0,93.0,89.0,93.0,91.0,91.0,91.0,90.0,90.0,85.0,92.0,87.0,91.0,84.0,91.0,92.0,84.0,87.0,93.0,89.0,89.0,92.0,93.0,89.0,92.0,88.0,93.0,87.0,84.0,93.0,86.0,88.0,93.0,92.0,90.0,90.0,89.0,88.0,89.0,93.0,90.0,90.0,93.0,93.0,91.0,89.0,93.0,89.0,88.0,84.0,93.0,88.0,-1908.0,92.0,93.0,92.0,93.0,89.0,88.0,89.0,91.0,92.0,-1910.0,90.0,91.0,92.0,92.0,92.0,87.0,88.0,88.0,93.0,93.0,93.0,91.0,87.0,92.0,92.0
Q Learning Rewards,22.0,64.0,-7972.0,-5936.0,-1914.0,54.0,58.0,51.0,88.0,-10255.0,87.0,91.0,90.0,79.0,91.0,88.0,81.0,88.0,92.0,91.0,74.0,-29.0,89.0,85.0,85.0,90.0,79.0,91.0,79.0,85.0,84.0,90.0,79.0,51.0,50.0,93.0,93.0,90.0,22.0,-1966.0,89.0,82.0,90.0,53.0,-36.0,80.0,-9925.0,87.0,75.0,82.0,90.0,91.0,91.0,86.0,93.0,84.0,83.0,87.0,86.0,-3965.0,86.0,77.0,74.0,93.0,36.0,31.0,75.0,79.0,89.0,50.0,91.0,90.0,88.0,87.0,13.0,82.0,91.0,87.0,-1999.0,84.0,90.0,92.0,80.0,93.0,81.0,89.0,92.0,88.0,74.0,88.0,91.0,87.0,87.0,92.0,91.0,81.0,88.0,82.0,91.0,20.0

